"setor","repasse_total","ljung_p","bp_p"
"setor03",0.775730736826234,0.507538993884615,0.00908520896620844
"setor22",0.706952347708476,0.0258946614444511,0.0155836475607809
"setor08",0.340088565405738,0.0520173178880112,0.949406078373478
"setor07",0.310150234520628,0.678069813818484,0.00503149285765937
"setor12",0.255781416181084,0.765033799239386,0.961009220380233
"setor06",0.255553565747878,0.00314535309512709,0.258152026109977
"setor01",0.180757411521427,0.638316938357579,0.535669303792173
"setor17",0.178728840295015,0.350979014583234,0.584211840501725
"setor16",0.167277382108709,0.099636277993381,0.424794720727874
"setor00",0.135239768383639,0.731632841911816,0.613513229309735
"setor23",0.118734066635325,0.324441982510504,0.887276639316459
"setor18",0.10368201174108,0.358582788689986,0.243923546740704
"setor20",0.0974649846923074,0.631131699671434,0.951927916654961
"setor15",0.0807593004917339,0.00197413279176351,0.874865413322986
"setor05",0.0691752009501969,0.266623290693681,0.0820982414449442
"setor19",0.0562607964753883,0.121389749619417,0.367990546767163
"setor21",0.055423090835807,0.0322106574440232,0.10292252541076
"setor14",0.0409449167128294,0.0247309587602715,0.0290720522993832
"setor02",0.0330565567689493,0.918060657918863,0.194075519022354
"setor10",0.024299018553507,0.276820146530947,0.333440232332113
"setor04",0.0139094849995466,0.00233764849383866,0.338589288527691
"setor11",0.0101601413765054,0.0558418271310642,0.326168851691169
"setor13",-0.0441662921527826,0.157818062131014,0.128429569579443
"setor09",-0.0567021618888007,0.633069092063492,0.775921166814978
